,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Tempurature,Wind Speed,TimeStampt_Coverted
0,samarai,85,PG,1567037244,92,-10.62,150.67,23.95,2.76,Wed Aug 28 19:09:18 2019
1,cape town,0,ZA,1567037244,75,-33.93,18.42,10.0,1.0,Wed Aug 28 19:09:18 2019
2,iqaluit,75,CA,1567037244,81,63.75,-68.52,6.0,2.1,Wed Aug 28 19:09:18 2019
3,pontes e lacerda,88,BR,1567037245,46,-15.23,-59.33,26.55,0.48,Wed Aug 28 19:09:18 2019
4,victoria,75,BN,1567037245,69,5.28,115.24,27.0,3.6,Wed Aug 28 19:09:18 2019
5,hermanus,0,ZA,1567037245,73,-34.42,19.24,10.0,0.89,Wed Aug 28 19:09:18 2019
6,geraldton,90,CA,1567037245,81,49.72,-86.95,12.0,7.2,Wed Aug 28 19:09:18 2019
7,albany,90,US,1567037103,82,42.65,-73.75,21.67,2.1,Wed Aug 28 19:09:18 2019
8,mahebourg,75,MU,1567037244,73,-20.41,57.7,21.0,6.2,Wed Aug 28 19:09:18 2019
9,letnyaya stavka,0,RU,1567037246,51,45.43,43.44,14.45,4.34,Wed Aug 28 19:09:18 2019
10,tiksi,5,RU,1567037246,83,71.64,128.87,2.95,9.58,Wed Aug 28 19:09:18 2019
11,port alfred,38,ZA,1567037246,79,-33.59,26.89,11.67,1.79,Wed Aug 28 19:09:18 2019
12,matara,34,BI,1567037246,81,-3.48,29.48,11.65,0.27,Wed Aug 28 19:09:18 2019
13,hobart,20,AU,1567037094,61,-42.88,147.33,10.56,4.6,Wed Aug 28 19:09:18 2019
14,ushuaia,75,AR,1567037246,93,-54.81,-68.31,2.0,9.3,Wed Aug 28 19:09:18 2019
15,mataura,100,NZ,1567037247,87,-46.19,168.86,6.11,4.47,Wed Aug 28 19:09:18 2019
16,shubarkuduk,90,KZ,1567037247,78,49.15,56.49,12.45,7.46,Wed Aug 28 19:09:18 2019
17,rodino,0,RU,1567037247,76,52.5,80.2,11.45,3.34,Wed Aug 28 19:09:18 2019
18,busselton,0,AU,1567037247,59,-33.64,115.35,17.22,8.64,Wed Aug 28 19:09:18 2019
19,san cristobal,13,HN,1567037248,51,14.68,-86.92,23.85,3.33,Wed Aug 28 19:09:18 2019
20,rikitea,48,PF,1567037248,71,-23.12,-134.97,21.35,6.7,Wed Aug 28 19:09:18 2019
21,qaanaaq,100,GL,1567037248,97,77.48,-69.36,1.25,5.45,Wed Aug 28 19:09:18 2019
22,dikson,100,RU,1567037248,97,73.51,80.55,5.75,6.57,Wed Aug 28 19:09:18 2019
23,bambous virieux,75,MU,1567037249,73,-20.34,57.76,21.0,6.2,Wed Aug 28 19:09:18 2019
24,biltine,84,TD,1567037249,58,14.53,20.93,26.25,12.29,Wed Aug 28 19:09:18 2019
25,new norfolk,20,AU,1567037249,61,-42.78,147.06,10.56,4.6,Wed Aug 28 19:09:18 2019
26,launceston,0,AU,1567037249,65,-41.43,147.14,8.89,0.22,Wed Aug 28 19:09:18 2019
